keycode,event,time
32,Up,1652563544.012256
83,Down,1652563544.2503946
83,Up,1652563544.3458414
84,Down,1652563544.7222972
84,Up,1652563544.845685
82,Down,1652563545.1673179
82,Up,1652563545.2558746
69,Down,1652563545.6216578
87,Down,1652563545.629659
87,Up,1652563545.6872988
69,Up,1652563545.694299
78,Down,1652563547.3689346
78,Up,1652563547.436435
71,Down,1652563547.7608802
71,Up,1652563547.8568137
84,Down,1652563548.162666
84,Up,1652563548.2668738
72,Down,1652563548.6108952
72,Up,1652563548.6889687
32,Down,1652563549.084842
32,Up,1652563549.1966653
79,Down,1652563549.766786
79,Up,1652563549.8348448
70,Down,1652563550.5154316
70,Up,1652563550.5896184
32,Down,1652563550.8416367
32,Up,1652563550.9450302
68,Down,1652563551.248827
68,Up,1652563551.3706768
65,Down,1652563551.4801903
65,Up,1652563551.589665
82,Down,1652563551.697718
82,Up,1652563551.767031
67,Down,1652563552.3903737
67,Up,1652563552.4817348
89,Down,1652563552.857635
89,Up,1652563552.9389606
186,Down,1652563553.6109226
186,Up,1652563553.6890314
222,Down,1652563554.710757
222,Up,1652563554.7970157
83,Down,1652563555.0078518
83,Up,1652563555.089822
32,Down,1652563555.3940828
32,Up,1652563555.4754188
82,Down,1652563556.266966
69,Down,1652563556.378023
82,Up,1652563556.4167407
69,Up,1652563556.4898007
71,Down,1652563556.632873
71,Up,1652563556.7126608
65,Down,1652563556.8469195
65,Up,1652563556.9119356
82,Down,1652563558.0147235
82,Up,1652563558.0874352
68,Down,1652563558.3449922
68,Up,1652563558.419066
188,Down,1652563559.2100904
32,Down,1652563559.2774715
188,Up,1652563559.326106
32,Up,1652563559.4088032
66,Down,1652563559.6389644
66,Up,1652563559.7165782
73,Down,1652563560.0401692
73,Up,1652563560.1434047
78,Down,1652563560.2985961
78,Up,1652563560.378597
71,Down,1652563560.732575
71,Up,1652563560.8106422
76,Down,1652563560.953126
76,Up,1652563561.0367892
69,Down,1652563561.6388636
69,Up,1652563561.7527702
89,Down,1652563562.1442423
89,Up,1652563562.2221851
32,Down,1652563562.3788118
32,Up,1652563562.5087333
72,Down,1652563562.8031113
72,Up,1652563562.8950865
65,Down,1652563562.9911616
65,Up,1652563563.127378
68,Down,1652563563.334149
68,Up,1652563563.4408557
32,Down,1652563563.708772
32,Up,1652563563.8773677
84,Down,1652563564.1617935
84,Up,1652563564.242828
72,Down,1652563564.3257153
72,Up,1652563564.4127707
69,Down,1652563564.6704261
69,Up,1652563564.760524
32,Down,1652563565.1363084
32,Up,1652563565.252365
70,Down,1652563565.7578197
70,Up,1652563565.835828
73,Down,1652563566.0140002
73,Up,1652563566.0945573
82,Down,1652563566.1869655
82,Up,1652563566.261813
69,Down,1652563566.4067442
69,Up,1652563566.4671934
77,Down,1652563566.9284008
77,Up,1652563567.019656
69,Down,1652563567.2613497
69,Up,1652563567.335346
83,Down,1652563567.8886898
83,Up,1652563567.9677806
84,Down,1652563568.2001257
84,Up,1652563568.280377
32,Down,1652563568.3818977
32,Up,1652563568.4849062
82,Down,1652563568.708843
82,Up,1652563568.793456
69,Down,1652563569.0348492
69,Up,1652563569.0904527
76,Down,1652563569.818225
76,Up,1652563569.9027498
73,Down,1652563570.0504117
73,Up,1652563570.1356616
65,Down,1652563570.2187011
65,Up,1652563570.3265436
78,Down,1652563570.4558215
78,Up,1652563570.5373757
67,Down,1652563570.8814356
67,Up,1652563570.9931972
69,Down,1652563571.39024
69,Up,1652563571.4613283
188,Down,1652563572.3808084
32,Down,1652563572.4497519
188,Up,1652563572.4527519
32,Up,1652563572.5723894
65,Down,1652563572.8505363
65,Up,1652563572.9725463
66,Down,1652563573.1648645
66,Up,1652563573.2869291
68,Down,1652563573.6239169
68,Up,1652563573.745029
32,Down,1652563573.958522
32,Up,1652563574.10154
79,Down,1652563574.4433756
79,Up,1652563574.5270622
70,Down,1652563575.29696
70,Up,1652563575.4005787
32,Down,1652563575.4287343
32,Up,1652563575.5451806
72,Down,1652563575.638978
72,Up,1652563575.7246838
73,Down,1652563575.918666
73,Up,1652563576.0250256
83,Down,1652563576.3071198
83,Up,1652563576.3951273
32,Down,1652563576.6084824
32,Up,1652563576.7227361
74,Down,1652563577.358759
74,Up,1652563577.4268172
85,Down,1652563577.7218516
85,Up,1652563577.7957225
68,Down,1652563578.2875218
68,Up,1652563578.3763542
71,Down,1652563578.617653
71,Up,1652563578.7178006
77,Down,1652563578.9126844
77,Up,1652563579.0178287
69,Down,1652563579.0520177
69,Up,1652563579.131882
78,Down,1652563579.2427332
78,Up,1652563579.3347218
84,Down,1652563579.7510545
84,Up,1652563579.824781
78,Down,1652563583.8299625
78,Up,1652563583.936792
39,Down,1652563588.1772618
39,Up,1652563588.2950304
39,Down,1652563588.7459183
39,Up,1652563590.3384652
69,Down,1652563593.887986
69,Up,1652563593.9612012
39,Down,1652563594.0944307
39,Up,1652563594.2209136
39,Down,1652563594.2964435
39,Up,1652563594.4009538
39,Down,1652563594.5077324
39,Up,1652563594.5961204
39,Down,1652563594.6991603
39,Up,1652563594.795154
32,Down,1652563595.2088459
