user,time,button,state,x,y
Nikita,1649452729.487558,NoButton,Move,725,401
Nikita,1649452729.4885585,NoButton,Move,725,398
Nikita,1649452729.4895585,NoButton,Move,725,397
Nikita,1649452729.490558,NoButton,Move,725,396
Nikita,1649452729.4915648,NoButton,Move,725,394
Nikita,1649452729.4925597,NoButton,Move,725,392
Nikita,1649452729.493558,NoButton,Move,725,391
Nikita,1649452729.494558,NoButton,Move,723,389
Nikita,1649452729.495557,NoButton,Move,723,388
Nikita,1649452729.496559,NoButton,Move,723,387
Nikita,1649452729.4975593,NoButton,Move,723,386
Nikita,1649452729.4985604,NoButton,Move,723,383
Nikita,1649452729.4995592,NoButton,Move,723,382
Nikita,1649452729.5005636,NoButton,Move,723,380
Nikita,1649452729.501558,NoButton,Move,723,379
Nikita,1649452729.5025585,NoButton,Move,723,377
Nikita,1649452729.5045686,NoButton,Move,723,375
Nikita,1649452729.505558,NoButton,Move,723,374
Nikita,1649452729.5065637,NoButton,Move,723,373
Nikita,1649452729.5075588,NoButton,Move,723,372
Nikita,1649452729.50856,NoButton,Move,723,371
Nikita,1649452729.5105677,NoButton,Move,723,370
Nikita,1649452729.5115583,NoButton,Move,723,369
Nikita,1649452729.512559,NoButton,Move,723,368
Nikita,1649452729.5135589,NoButton,Move,723,366
Nikita,1649452729.51456,NoButton,Move,723,365
Nikita,1649452729.5155628,NoButton,Move,723,364
Nikita,1649452729.5175583,NoButton,Move,723,363
Nikita,1649452729.5185592,NoButton,Move,723,362
Nikita,1649452729.5205684,NoButton,Move,723,361
Nikita,1649452729.5225692,NoButton,Move,723,360
Nikita,1649452729.5245671,NoButton,Move,723,359
Nikita,1649452729.5267882,NoButton,Move,722,358
Nikita,1649452729.5288026,NoButton,Move,722,357
Nikita,1649452729.5327945,NoButton,Move,722,356
Nikita,1649452729.5368054,NoButton,Move,722,355
Nikita,1649452729.5408041,NoButton,Move,722,354
Nikita,1649452729.5497937,NoButton,Move,722,353
Nikita,1649452730.494169,NoButton,Move,722,353
Nikita,1649452732.2525015,NoButton,Move,722,354
Nikita,1649452732.2554827,NoButton,Move,722,354
Nikita,1649452732.2584515,NoButton,Move,722,355
Nikita,1649452732.2584515,NoButton,Move,723,355
Nikita,1649452732.2624621,NoButton,Move,724,356
Nikita,1649452732.2664523,NoButton,Move,726,356
Nikita,1649452732.2674527,NoButton,Move,726,357
Nikita,1649452732.2694519,NoButton,Move,727,357
Nikita,1649452732.270453,NoButton,Move,727,358
Nikita,1649452732.271455,NoButton,Move,728,358
Nikita,1649452732.274451,NoButton,Move,729,359
Nikita,1649452732.2764528,NoButton,Move,730,359
Nikita,1649452732.277452,NoButton,Move,730,360
Nikita,1649452732.2784536,NoButton,Move,731,360
Nikita,1649452732.2804544,NoButton,Move,732,361
Nikita,1649452732.2824533,NoButton,Move,733,361
Nikita,1649452732.2834547,NoButton,Move,734,362
Nikita,1649452732.2854524,NoButton,Move,735,363
Nikita,1649452732.2877889,NoButton,Move,736,363
Nikita,1649452732.2887936,NoButton,Move,737,364
Nikita,1649452732.2907994,NoButton,Move,738,365
Nikita,1649452732.2914908,NoButton,Move,739,365
Nikita,1649452732.2924976,NoButton,Move,740,365
Nikita,1649452732.2934973,NoButton,Move,740,367
Nikita,1649452732.2944973,NoButton,Move,741,367
Nikita,1649452732.295498,NoButton,Move,742,368
Nikita,1649452732.2964978,NoButton,Move,743,369
Nikita,1649452732.2974992,NoButton,Move,744,369
Nikita,1649452732.298497,NoButton,Move,745,369
Nikita,1649452732.2994988,NoButton,Move,745,370
Nikita,1649452732.3004978,NoButton,Move,747,371
Nikita,1649452732.3014975,NoButton,Move,748,371
Nikita,1649452732.3024979,NoButton,Move,748,372
Nikita,1649452732.3034995,NoButton,Move,749,372
Nikita,1649452732.3044977,NoButton,Move,750,373
Nikita,1649452732.3054984,NoButton,Move,751,373
Nikita,1649452732.3064973,NoButton,Move,752,374
Nikita,1649452732.3074982,NoButton,Move,753,374
Nikita,1649452732.3084972,NoButton,Move,754,375
Nikita,1649452732.3094997,NoButton,Move,755,376
