keycode,HD,PPD,RPD,RRD,user
37,0.07226204872131348,0.10006403923034668,0.027801990509033203,0.09567689895629883,lol
17,0.06787490844726562,0.12306499481201172,0.055190086364746094,0.11103701591491699,lol
40,0.0558469295501709,0.06392097473144531,0.008074045181274414,0.08428692817687988,lol
17,0.07621288299560547,0.1529979705810547,0.07678508758544922,0.14895105361938477,lol
16,0.07216596603393555,0.1638350486755371,0.09166908264160156,0.16310906410217285,lol
11,0.07143998146057129,0.06805300712585449,-0.003386974334716797,0.1250629425048828,lol
6,0.1284499168395996,0.33098888397216797,0.20253896713256836,0.31121301651000977,lol
49,0.1086740493774414,0.39278531074523926,0.28411126136779785,0.34058499336242676,lol
11,0.056473731994628906,0.11312270164489746,0.056648969650268555,0.16493916511535645,lol
49,0.10829019546508789,0.24884724617004395,0.14055705070495605,0.2051067352294922,lol
14,0.06454968452453613,0.4483146667480469,0.38376498222351074,0.4359622001647949,lol
45,0.05219721794128418,0.160858154296875,0.10866093635559082,0.1809380054473877,lol
38,0.07227706909179688,0.11816811561584473,0.04589104652404785,0.13805699348449707,lol
7,0.09216594696044922,0.14792895317077637,0.05576300621032715,0.11202192306518555,lol
16,0.0562589168548584,0.11690592765808105,0.060647010803222656,0.13314318656921387,lol
17,0.07249617576599121,0.1091618537902832,0.03666567802429199,0.0968329906463623,lol
16,0.06016731262207031,0.19888925552368164,0.13872194290161133,0.2109990119934082,lol
11,0.07227706909179688,0.13387489318847656,0.06159782409667969,0.20209884643554688,lol
6,0.1405010223388672,0.3040299415588379,0.1635289192199707,0.2757530212402344,lol
49,0.11222410202026367,0.38808703422546387,0.2758629322052002,0.3394649028778076,lol
16,0.06360197067260742,0.16591119766235352,0.1023092269897461,0.185791015625,lol
38,0.0834817886352539,0.1270458698272705,0.0435640811920166,0.1556391716003418,lol
2,0.1120750904083252,0.12018775939941406,0.008112668991088867,0.10033488273620605,lol
1,0.09222221374511719,0.20606517791748047,0.11384296417236328,0.17393898963928223,lol
33,0.060096025466918945,0.4045901298522949,0.344494104385376,0.4847738742828369,lol
49,0.14027976989746094,0.6200459003448486,0.4797661304473877,0.5359880924224854,lol
5,0.056221961975097656,0.10599493980407715,0.04977297782897949,0.11409401893615723,lol
4,0.06432104110717773,0.13694119453430176,0.07262015342712402,0.1568591594696045,lol
17,0.08423900604248047,0.2520627975463867,0.16782379150390625,0.2286539077758789,lol
37,0.060830116271972656,0.15100812911987305,0.09017801284790039,0.15059494972229004,lol
40,0.06041693687438965,0.16004610061645508,0.09962916374206543,0.15180587768554688,lol
38,0.052176713943481445,0.2461988925933838,0.19402217864990234,0.24602031707763672,lol
37,0.051998138427734375,0.0005679130554199219,-0.05143022537231445,0.0009288787841796875,lol
41,0.05235910415649414,0.1601262092590332,0.10776710510253906,0.17203092575073242,lol
17,0.06426382064819336,0.12710976600646973,0.06284594535827637,0.1184530258178711,lol
16,0.05560708045959473,0.13814806938171387,0.08254098892211914,0.15027093887329102,lol
11,0.06772994995117188,0.07117819786071777,0.0034482479095458984,0.10833597183227539,lol
12,0.10488772392272949,0.4756946563720703,0.3708069324493408,0.4466359615325928,lol
51,0.07582902908325195,0.17076730728149414,0.09493827819824219,0.155134916305542,lol
51,0.060196638107299805,0.14197969436645508,0.08178305625915527,0.15402722358703613,lol
51,0.07224416732788086,0.16499924659729004,0.09275507926940918,0.14901399612426758,lol
51,0.0562589168548584,0.13397789001464844,0.07771897315979004,0.14597487449645996,lol
51,0.06825590133666992,0.13011717796325684,0.061861276626586914,0.13786816596984863,lol
51,0.07600688934326172,0.43089795112609863,0.3548910617828369,0.4227030277252197,lol
41,0.06781196594238281,0.15506291389465332,0.08725094795227051,0.16744184494018555,lol
17,0.08019089698791504,0.3958778381347656,0.3156869411468506,0.3960740566253662,lol
16,0.08038711547851562,0.26403212547302246,0.18364500999450684,0.2559809684753418,lol
11,0.07233595848083496,0.09604096412658691,0.023705005645751953,0.10794210433959961,lol
12,0.08423709869384766,0.8298039436340332,0.7455668449401855,0.8009660243988037,lol
